TIC dtw Env USlope LSlope med mad os low row robAbbe rV reucliD reDSign rbLeon rbLeonsign per per_2 per_3 fm sm tm tail DeltaM eta slope slope_min r_value r_value_min class
11202269 5.85 0.000911261 0.001095413 0.000184152 13.56 0.0257169562112075 0.190736276069979 -0.0662797274109988 0.0857696409899063 0.10426314991061 0.257709036231417 0.021522485311158 -0.0208130140892715 0.00468485658524997 0.000141111223104673 3.447 6.918 4.645 0.562 0.455 0.039 0.034 0.065 0.13563 0.00047 4e-05 0.14033 0.01225 PE
11202446 13.342 -0.001207933 0.000442155 0.001650089 15.311 0.02296803966613 -0.0179450623497371 -0.00516345321555568 0.138946919895796 1.93585003903665 1.00990563495658 0.0301235134358332 0.0208281599563965 0.0184839014013516 0.000591369402782149 2.498 3.047 1.424 0.083 0.026 0.017 0.021 0.081 1.8134 0.00061 0.00051 0.17722 0.17235 PR
11283111 10.228 -0.004609453 -0.000706181 0.003903272 14.663 0.021354141494874 -0.0725561795852174 -0.144163355630904 0.129084101471872 0.977372197352218 0.670629110271327 0.0252338019368081 0.020838537861245 0.012303041753718 -3.73646261664362e-06 10.889 5.045 6.294 0.448 0.038 0.026 0.031 0.084 1.07511 0.00094 0.00078 0.29395 0.27426 PR
11283382 10.857 -0.000212549 0.001456252 0.001668801 15.455 0.017678101662526 0.0497819801380432 -0.127149176530788 0.147485202940628 1.57284108688966 0.740520658767328 0.0259879249413117 -0.0208245519052291 0.0131880609867103 -0.000364396257509725 3.996 11.663 8.591 0.093 0.069 0.067 0.052 0.068 1.51896 0.00047 0.00011 0.17445 0.04117 R
11283424 16.348 0.003069004 0.002105866 -0.000963138 15.88 0.0246795241875253 -0.0343188911555724 -0.195512023079735 0.133627370531559 1.87638956800764 1.06707369428703 0.0310179797674198 0.020845186402664 0.0195725888975424 0.00113941454414146 13.137 0.899 0.749 0.016 0.01 0.01 0.001 0.096 1.86988 0.00021 -0.00046 0.05604 -0.13309 R
11283452 2.435 0.000367231 0.000295431 -7.18e-05 12.474 0.00731366004758176 -0.019047820817152 -0.0122811851100082 0.116985206497031 0.115184491111471 0.0779938747767888 0.0209008953296768 -0.0208137463455628 0.00134519735806293 -8.01944154460443e-06 0.924 0.974 1.049 0.62 0.288 0.038 0.075 0.024 0.31924 0.00034 0.00025 0.32611 0.25529 ME
11283885 10.291 0.002033172 -2.57e-06 -0.002035747 15.036 0.0220638654445793 -0.130565939799931 0.0317339202677318 0.163878391747469 0.906234311038653 0.681936080264799 0.0252715535572771 0.0208335315381151 0.0121368191930422 4.78165897810356e-06 6.568 4.545 3.397 0.387 0.073 0.057 0.011 0.081 1.00116 -7e-05 -0.00042 -0.02152 -0.13311 PR
11284400 22.598 -0.012850066 -0.014222138 -0.001372072 14.533 0.0415437826512076 0.124417076795891 -0.112899838937554 0.342584768620711 0.140897182375041 0.510810153904169 0.0234656548413648 -0.0208142822931612 0.00877626877795201 0.000231948343161648 9.89 5.17 3.522 0.289 0.169 0.129 0.231 0.151 0.07805 -0.00397 -0.00419 -0.45993 -0.45307 D
11286019 15.561 -0.012288437 -0.010083882 0.002204555 12.921 0.116604145275206 0.325893721619667 -0.0860301346547476 0.0247433304656857 0.0035266869549936 0.253071969159927 0.0215149029670243 -0.0208151647973218 0.00405728359026547 2.44566953888636e-05 9.99 5.869 3.247 0.71 0.296 0.027 0.102 0.368 0.00772 -0.00633 -0.00681 -0.30904 -0.33194 D
11286037 18.036 -0.011610674 -0.007901624 0.00370905 14.684 0.0512887540675627 0.462591050559635 -0.129259174941804 0.374938666665339 0.102583174048145 0.595583807202322 0.024314980871109 -0.0208136534465375 0.0101221167218082 4.82851867040779e-05 4.221 5.744 2.423 0.276 0.222 0.115 0.026 0.226 0.05472 -0.00318 -0.00413 -0.25951 -0.31132 D
